Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
REVISTA ESPANOLA DE DERECHO CONSTITUCIONAL,0211-5743,1989-0648,CENTRO ESTUDIOS POLITICOS CONSTITUCIONALES,"PLAZA DE LA MARINA ESPANOLA 9, MADRID, SPAIN, 28071",Spanish,Law
RUTGERS UNIVERSITY LAW REVIEW,2374-3859,2374-3859,RUTGERS UNIV,"SCHOOL LAW 123 WASHINGTON ST, NEWARK, USA, NJ, 07102",English,Law
SOCIAL & LEGAL STUDIES,0964-6639,1461-7390,SAGE PUBLICATIONS LTD,"105 Bunhill Row, LONDON, England, EC1Y 8LZ",English,"Criminology & Penology | Law | Social Sciences, Interdisciplinary"
SOUTH AFRICAN JOURNAL ON HUMAN RIGHTS,0258-7203,1996-2126,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Law
SOUTHERN CALIFORNIA LAW REVIEW,0038-3910,0038-3910,UNIV SOUTHERN CALIF,"LAW CENTER UNIV PARK, LOS ANGELES, USA, CA, 90089-0071",English,Law
STANFORD LAW REVIEW,0038-9765,1939-8581,"STANFORD UNIV, STANFORD LAW SCHOOL","STANFORD JOURNAL INT LAW, 559 NATHAN ABBOTT WAY, STANFORD, USA, CA, 94305-8610",English,Law
SUPREME COURT REVIEW,0081-9557,2158-2459,UNIV CHICAGO PRESS,"1427 E 60TH ST, CHICAGO, USA, IL, 60637-2954",English,Law
TEXAS LAW REVIEW,0040-4411,1942-857X,TEXAS LAW REVIEW PUBL INC,"727 E 26TH ST, AUSTIN, USA, TX, 78705",English,Law
TIJDSCHRIFT VOOR RECHTSGESCHIEDENIS-REVUE D HISTOIRE DU DROIT-THE LEGAL HISTORY REVIEW,0040-7585,0040-7585,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,History | Law
TRANSNATIONAL ENVIRONMENTAL LAW,2047-1025,2047-1033,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Environmental Studies | Law
UCLA LAW REVIEW,0041-5650,1943-1724,UNIV CALIF,"SCH LAW 405 HILGARD AVE, LOS ANGELES, USA, CA, 90024",English,Law
UNIVERSITY OF CHICAGO LAW REVIEW,0041-9494,,UNIV CHICAGO LAW SCH,"1111 E 60TH ST, CHICAGO, USA, IL, 60637",English,Law
UNIVERSITY OF CINCINNATI LAW REVIEW,0009-6881,1942-8391,UNIV CINCINNATI LAW REVIEW,"UNIV CINCINNATI COL LAW ROOM 300,TAFT HALL, CINCINNATI, USA, OH, 45221",English,Law
UNIVERSITY OF ILLINOIS LAW REVIEW,0276-9948,1942-9231,UNIV ILLINOIS,"COLLEGE OF LAW-76 LAW BLDG 504 E PENNSYLVANIA AVE, CHAMPAIGN, USA, IL, 61820",English,Law
UNIVERSITY OF PENNSYLVANIA JOURNAL OF INTERNATIONAL LAW,1938-0283,,UNIV PENN LAW SCH,"3400 CHESTNUT ST, PHILADELPHIA, USA, PA, 19104-6204",English,Law
UNIVERSITY OF PENNSYLVANIA LAW REVIEW,0041-9907,,UNIV PENN LAW SCH,"3400 CHESTNUT ST, PHILADELPHIA, USA, PA, 19104-6204",English,Law
UNIVERSITY OF PITTSBURGH LAW REVIEW,0041-9915,1942-8405,"UNIV PITTSBURGH, UNIV LIBRARY SYSTEM","3960 FORBES AVE, PITTSBURGH, USA, PA, 15260",English,Law
UNIVERSITY OF TORONTO LAW JOURNAL,0042-0220,1710-1174,UNIV TORONTO PRESS INC,"JOURNALS DIVISION, 5201 DUFFERIN ST, DOWNSVIEW, TORONTO, CANADA, ON, M3H 5T8",English,Law
VANDERBILT LAW REVIEW,0042-2533,1942-9886,VANDERBILT LAW REVIEW,"VANDERBILT UNIV SCHOOL OF LAW, NASHVILLE, USA, TN, 37240",English,Law
VIRGINIA LAW REVIEW,0042-6601,0042-6601,UNIV VIRGINIA LAW REVIEW ASSOC,"580 MASSIE ROAD, CHARLOTTESVILLE, USA, VA, 22903-1789",English,Law
WASHINGTON LAW REVIEW,0043-0617,,UNIV WASHINGTON SCHOOL OF LAW,"WASHINGTON LAW REVIEW 1100 NE CAMPUS PARKWAY 410 CONDON HALL, SEATTLE, USA, WA, 98105",English,Law
WASHINGTON QUARTERLY,0163-660X,1530-9177,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,International Relations | Law
WISCONSIN LAW REVIEW,0043-650X,1943-1120,UNIV WISCONSIN LAW SCHOOL,"975 BASCOM MALL, MADISON, USA, WI, 53706",English,Law
WORLD TRADE REVIEW,1474-7456,1475-3138,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Economics | International Relations | Law
YALE JOURNAL ON REGULATION,0741-9457,2376-5925,YALE JOURNAL ON REGULATION,"127 WALL STREET, NEW HAVEN, USA, CT, 06511",English,Law
YALE LAW JOURNAL,0044-0094,1939-8611,YALE LAW J CO INC,"401-A YALE STATION, NEW HAVEN, USA, CT, 06520",English,Law
