Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
EUROPEAN JOURNAL OF LAW AND ECONOMICS,0929-1261,1572-9990,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Economics | Law
EUROPEAN JOURNAL OF MIGRATION AND LAW,1388-364X,1571-8166,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,Demography | Law
EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT,1889-1861,1989-4007,COLEGIO OFICIAL PSICOLOGOS MADRID,"C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, Spain, 28008",Multi-Language,"Law | Psychology, Multidisciplinary"
EUROPEAN LAW JOURNAL,1351-5993,1468-0386,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Law
EUROPEAN LAW REVIEW,0307-5400,0307-5400,SWEET MAXWELL LTD,"NORTH WAY, ANDOVER, ENGLAND, HANTS, SP10 5BE",English,Law
FEMINIST LEGAL STUDIES,0966-3622,1572-8455,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Law | Women'S Studies
FOOD AND DRUG LAW JOURNAL,1064-590X,1064-590X,FOOD DRUG LAW INST,"1000 VERMONT AVE NW, SUITE 1200, WASHINGTON, USA, DC, 20005-4903",English,Law
FORDHAM LAW REVIEW,0015-704X,0015-704X,"FORDHAM UNIV, SCHOOL LAW","140 W 62ND STREET, NEW YORK, USA, NY, 10023",English,Law
GEORGETOWN LAW JOURNAL,0016-8092,0016-8092,GEORGETOWN LAW JOURNAL ASSOC,"600 NEW JERSEY AVE N W, WASHINGTON, USA, DC, 20001",English,Law
GEORGE WASHINGTON LAW REVIEW,0016-8076,0016-8076,GEORGE WASHINGTON UNIV,"2000 H STREET N W, WASHINGTON, USA, DC, 20052",English,Law
HAGUE JOURNAL ON THE RULE OF LAW,1876-4045,1876-4053,SPRINGER WIEN,"Prinz-Eugen-Strasse 8-10, Vienna, Austria, A-1040",English,Law
HARVARD CIVIL RIGHTS-CIVIL LIBERTIES LAW REVIEW,0017-8039,1943-5061,HARVARD LAW SCHOOL,"PUBLICATIONS CTR, CAMBRIDGE, USA, MA, 02138",English,Law
HARVARD ENVIRONMENTAL LAW REVIEW,0147-8257,0147-8257,HARVARD LAW SCHOOL,"PUBLICATIONS CTR, CAMBRIDGE, USA, MA, 02138",English,Environmental Studies | Law
HARVARD INTERNATIONAL LAW JOURNAL,0017-8063,2153-2494,HARVARD LAW SCHOOL,"PUBLICATIONS CTR, CAMBRIDGE, USA, MA, 02138",English,Law
HARVARD JOURNAL OF LAW AND PUBLIC POLICY,0193-4872,0193-4872,HARVARD SOC LAW PUBLIC POLICY,"HARVARD LAW SCHOOL, CAMBRIDGE, USA, MA, 02138",English,Law
HARVARD JOURNAL ON LEGISLATION,0017-808X,1943-507X,HARVARD LAW SCHOOL,"PUBLICATIONS CTR, CAMBRIDGE, USA, MA, 02138",English,Law
HARVARD LAW REVIEW,0017-811X,2161-976X,HARVARD LAW REV ASSOC,"GANNETT HOUSE, 1511 MASSACHUSETTS AVE, CAMBRIDGE, USA, MA, 02138",English,Law
HASTINGS LAW JOURNAL,0017-8322,0017-8322,UNIV CALIF,"HASTINGS COLLEGE LAW 200 MCALLISTER ST, SAN FRANCISCO, USA, CA, 94102",English,Law
HONG KONG LAW JOURNAL,0378-0600,,SWEET MAXWELL LTD,"NORTH WAY, ANDOVER, ENGLAND, HANTS, SP10 5BE",English,Law
HUMAN RIGHTS LAW REVIEW,1461-7781,1744-1021,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,International Relations | Law
ICON-INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,1474-2640,1474-2659,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Law
